LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
GlenEira,3.0,2.0,3125.0,0.4,0.5,0.8383383383383383,0,0,1,0,0,1,0,0,0,0
Darebin,1.0,1.0,700.0,0.0,0.25,0.2247247247247247,0,1,0,0,0,0,1,0,0,2
GlenEira,2.0,1.0,1225.0,0.2,0.25,0.4164164164164164,0,0,1,0,0,0,1,0,0,5
Yarra,2.0,0.0,3250.0,0.2,0.0,0.8568568568568569,0,0,0,1,0,1,0,0,0,1
Whitehorse,3.0,1.0,1000.0,0.4,0.25,0.3373373373373373,0,0,1,0,0,0,1,0,0,4
Boroondara,4.0,2.0,1000.0,0.6,0.5,0.3373373373373373,0,0,0,1,0,1,0,0,0,1
GreaterDandenong,3.0,0.0,2250.0,0.4,0.0,0.6736736736736737,0,0,1,0,1,0,0,0,0,3
YarraRanges,5.0,2.0,1750.0,0.8,0.5,0.5565565565565566,0,0,1,0,0,0,1,0,0,4
Whittlesea,1.0,1.0,1374.0,0.0,0.25,0.4334334334334334,0,1,0,0,0,1,0,0,0,1
Bayside,2.0,1.0,1125.0,0.2,0.25,0.3763763763763763,0,0,1,0,1,0,0,0,0,5
Frankston,3.0,2.0,450.0,0.4,0.5,0.1131131131131131,0,1,0,0,0,1,0,0,0,1
Knox,2.0,2.0,2600.0,0.2,0.5,0.7707707707707707,0,0,1,0,1,0,0,0,0,3
Yarra,3.0,1.0,4250.0,0.4,0.25,0.937937937937938,1,0,0,0,1,0,0,0,0,2
Brimbank,2.0,0.0,1125.0,0.2,0.0,0.3763763763763763,0,0,1,0,1,0,0,0,0,5
Monash,3.0,1.0,2000.0,0.4,0.25,0.6276276276276276,0,0,1,0,0,0,1,0,0,3
Whittlesea,3.0,2.0,1874.0,0.4,0.5,0.6066066066066066,0,0,1,0,1,0,0,0,0,3
Maribyrnong,1.0,2.0,450.0,0.0,0.5,0.1131131131131131,0,0,0,1,0,0,1,0,0,2
Manningham,3.0,2.0,2850.0,0.4,0.5,0.8048048048048049,0,0,1,0,0,1,0,0,0,0
Manningham,6.0,3.0,1375.0,1.0,0.75,0.4514514514514514,0,0,1,0,1,0,0,0,0,4
GlenEira,3.0,2.0,1375.0,0.4,0.5,0.4514514514514514,0,0,1,0,0,1,0,0,0,0
Casey,1.0,1.0,600.0,0.0,0.25,0.1956956956956957,0,0,1,0,0,0,1,0,0,5
Monash,2.0,0.0,950.0,0.2,0.0,0.3268268268268268,0,0,1,0,1,0,0,0,0,5
MorningtonPeninsula,1.0,1.0,1125.0,0.0,0.25,0.3763763763763763,0,0,1,0,0,0,1,0,0,5
Stonnington,1.0,1.0,3500.0,0.0,0.25,0.8833833833833833,1,0,0,0,0,1,0,0,0,1
MorningtonPeninsula,5.0,2.0,1375.0,0.8,0.5,0.4514514514514514,0,0,1,0,0,1,0,0,0,0
GreaterDandenong,1.0,0.0,3350.0,0.0,0.0,0.8618618618618619,0,0,1,0,0,0,1,0,0,6
Whittlesea,2.0,1.0,3400.0,0.2,0.25,0.8673673673673674,0,0,1,0,0,1,0,0,0,0
GreaterGeelong,2.0,1.0,2500.0,0.2,0.25,0.7347347347347347,0,0,1,0,1,0,0,0,0,6
Wyndham,3.0,1.0,1625.0,0.4,0.25,0.5195195195195195,0,0,1,0,0,0,1,0,0,3
Whitehorse,2.0,1.0,1750.0,0.2,0.25,0.5565565565565566,1,0,0,0,0,1,0,0,0,1
Melton,2.0,1.0,0.0,0.2,0.25,0.0,0,1,0,0,1,0,0,0,0,2
Melbourne,1.0,1.0,700.0,0.0,0.25,0.2247247247247247,1,0,0,0,0,1,0,0,0,1
Melton,1.0,0.0,750.0,0.0,0.0,0.2632632632632632,0,0,1,0,0,0,1,0,0,5
GlenEira,3.0,1.0,575.0,0.4,0.25,0.1856856856856856,1,0,0,0,0,0,1,0,0,2
Moreland,1.0,1.0,2500.0,0.0,0.25,0.7347347347347347,1,0,0,0,0,1,0,0,0,1
Nillumbik,2.0,1.0,2250.0,0.2,0.25,0.6736736736736737,0,0,1,0,0,1,0,0,0,0
Whittlesea,4.0,2.0,1400.0,0.6,0.5,0.4744744744744744,0,0,1,0,1,0,0,0,0,3
Casey,4.0,2.0,700.0,0.6,0.5,0.2247247247247247,0,0,1,0,0,0,0,1,0,0
Monash,2.0,1.0,1250.0,0.2,0.25,0.4224224224224224,0,0,1,0,0,1,0,0,0,0
GreaterGeelong,4.0,2.0,3500.0,0.6,0.5,0.8833833833833833,0,0,1,0,0,0,1,0,0,3
Whittlesea,3.0,2.0,500.0,0.4,0.5,0.1506506506506506,0,0,1,0,0,0,1,0,0,4
Knox,5.0,2.0,2575.0,0.8,0.5,0.7647647647647647,0,0,1,0,1,0,0,0,0,3
Yarra,2.0,1.0,2875.0,0.2,0.25,0.8108108108108107,0,0,0,1,0,1,0,0,0,1
Moreland,1.0,0.0,700.0,0.0,0.0,0.2247247247247247,1,0,0,0,0,1,0,0,0,1
Darebin,2.0,2.0,5000.0,0.2,0.5,0.9664664664664664,0,0,1,0,0,0,1,0,0,3
Darebin,2.0,1.0,1375.0,0.2,0.25,0.4514514514514514,0,0,1,0,1,0,0,0,0,5
GreaterDandenong,2.0,0.0,1375.0,0.2,0.0,0.4514514514514514,1,0,0,0,0,1,0,0,0,1
Brimbank,3.0,2.0,700.0,0.4,0.5,0.2247247247247247,0,0,1,0,1,0,0,0,0,4
Kingston,4.0,1.0,500.0,0.6,0.25,0.1506506506506506,0,0,1,0,1,0,0,0,0,4
Darebin,1.0,1.0,1350.0,0.0,0.25,0.4304304304304304,1,0,0,0,0,1,0,0,0,1
Stonnington,1.0,1.0,1725.0,0.0,0.25,0.5380380380380381,1,0,0,0,0,1,0,0,0,1
Maroondah,1.0,1.0,2250.0,0.0,0.25,0.6736736736736737,0,0,1,0,1,0,0,0,0,6
Wyndham,3.0,1.0,3500.0,0.4,0.25,0.8833833833833833,0,0,1,0,0,0,1,0,0,3
Melton,2.0,1.0,1125.0,0.2,0.25,0.3763763763763763,0,0,1,0,0,1,0,0,0,0
Boroondara,1.0,1.0,450.0,0.0,0.25,0.1131131131131131,0,1,0,0,0,1,0,0,0,1
